2026-05-16T20:58:20 [INFO    ] PopQA_v13: ╔══════════════════════════════════════════════════════╗
2026-05-16T20:58:20 [INFO    ] PopQA_v13: ║  Training-Free Semantic Routing — PopQA v13          ║
2026-05-16T20:58:20 [INFO    ] PopQA_v13: ║  2 PRE × 4 POST = 8 runs (Query Exp. + Caching)      ║
2026-05-16T20:58:20 [INFO    ] PopQA_v13: ╚══════════════════════════════════════════════════════╝
2026-05-16T20:58:20 [WARNING ] PopQA_v13: The JSON file contains 1273 queries, fewer than the 1500 requested in CONFIG. Proceeding with all available queries.
2026-05-16T20:58:20 [INFO    ] PopQA_v13: Queries loaded for ablation: 1273
2026-05-16T20:58:20 [INFO    ] PopQA_v13: [FAISS] Loading: c:\Users\Utente\Desktop\Progetto_Routing_RAG\db_indexes\popqa_expanded.faiss
2026-05-16T20:58:24 [INFO    ] PopQA_v13: [FAISS] 1527 vectors, dim=384
2026-05-16T20:58:24 [INFO    ] PopQA_v13: [LLM] Loading (logits_all=True, gpu_layers=26)...
2026-05-16T20:58:29 [INFO    ] PopQA_v13: [LLM] Ready.
2026-05-16T20:58:29 [INFO    ] PopQA_v13: Router v13: 2 PRE × 4 POST = 8 total runs
2026-05-16T20:58:29 [INFO    ] PopQA_v13: ╔══════════════════════════════════════════════════════╗
2026-05-16T20:58:29 [INFO    ] PopQA_v13: ║  PopQA Ablation v13:  8 run × 1273 query = 10184 total ║
2026-05-16T20:58:29 [INFO    ] PopQA_v13: ╚══════════════════════════════════════════════════════╝
2026-05-16T20:58:29 [INFO    ] PopQA_v13: ────────────────────────────────────────────────────────────
2026-05-16T20:58:29 [INFO    ] PopQA_v13:   RUN  1/8: Always_Retrieve × Always_FAISS
2026-05-16T20:58:29 [INFO    ] PopQA_v13: ────────────────────────────────────────────────────────────
2026-05-16T20:58:29 [INFO    ] PopQA_v13:   [   1/10184 |  0.0%] [low|pop=     44] What is the religion of Angelo Maria Rivato?
2026-05-17T02:44:41 [INFO    ] PopQA_v13:   [3146/10184 | 30.9%] [low|pop=     98] In what city was Alexandros Matsas born?
2026-05-17T02:44:51 [INFO    ] PopQA_v13:   [3147/10184 | 30.9%] [low|pop=     54] In what country is Footes?
2026-05-17T02:44:54 [INFO    ] PopQA_v13:   [3148/10184 | 30.9%] [med|pop=    294] What is Owando the capital of?
2026-05-17T02:45:03 [INFO    ] PopQA_v13:   [3149/10184 | 30.9%] [med|pop=    139] Who was the director of Compass?
2026-05-17T02:45:08 [INFO    ] PopQA_v13:   [3150/10184 | 30.9%] [med|pop=    318] What genre is The Off Season?
2026-05-17T02:45:14 [INFO    ] PopQA_v13:   [3151/10184 | 30.9%] [low|pop=     52] What genre is Operation Sabotage?
2026-05-17T02:45:22 [INFO    ] PopQA_v13:   [3152/10184 | 31.0%] [med|pop=    304] In what country is Belair National Park?
2026-05-17T02:45:29 [INFO    ] PopQA_v13:   [3153/10184 | 31.0%] [med|pop=    351] Who was the screenwriter for Chicago?
2026-05-17T02:45:35 [INFO    ] PopQA_v13:   [3154/10184 | 31.0%] [low|pop=     72] In what country is Arthur?
2026-05-17T02:45:40 [INFO    ] PopQA_v13:   [3155/10184 | 31.0%] [hig|pop=   1883] Who was the director of The Love Letter?
2026-05-17T02:45:45 [INFO    ] PopQA_v13:   [3156/10184 | 31.0%] [med|pop=    836] Who was the screenwriter for Pilot?
2026-05-17T02:45:50 [INFO    ] PopQA_v13:   [3157/10184 | 31.0%] [med|pop=    566] Who was the producer of The Pointer?
2026-05-17T02:45:56 [INFO    ] PopQA_v13:   [3158/10184 | 31.0%] [hig|pop=   8315] Who was the screenwriter for Michael Jackson's Ghosts?
2026-05-17T02:46:01 [INFO    ] PopQA_v13:   [3159/10184 | 31.0%] [hig|pop=   1082] Who was the director of Halloween?
2026-05-17T02:46:09 [INFO    ] PopQA_v13:   [3160/10184 | 31.0%] [med|pop=    540] Who was the director of White House?
2026-05-17T02:46:14 [INFO    ] PopQA_v13:   [3161/10184 | 31.0%] [low|pop=     78] In what city was David Granger born?
2026-05-17T02:46:19 [INFO    ] PopQA_v13:   [3162/10184 | 31.0%] [hig|pop=   2622] Who was the screenwriter for Fire?
2026-05-17T02:46:25 [INFO    ] PopQA_v13:   [3163/10184 | 31.1%] [med|pop=    236] In what city was Erik Pedersen born?
2026-05-17T02:46:30 [INFO    ] PopQA_v13:   [3164/10184 | 31.1%] [hig|pop=  76663] What is Brussels Capital Region the capital of?
2026-05-17T02:46:39 [INFO    ] PopQA_v13:   [3165/10184 | 31.1%] [med|pop=    876] What is Ava Deluca-Verley's occupation?
2026-05-17T02:46:46 [INFO    ] PopQA_v13:   [3166/10184 | 31.1%] [low|pop=     89] In what city was Szymon Kataszek born?
2026-05-17T02:46:52 [INFO    ] PopQA_v13:   [3167/10184 | 31.1%] [hig|pop= 129345] Who was the producer of 19?
2026-05-17T02:46:59 [INFO    ] PopQA_v13:   [3168/10184 | 31.1%] [low|pop=     28] Who was the screenwriter for Impossible?
2026-05-17T02:47:03 [INFO    ] PopQA_v13:   [3169/10184 | 31.1%] [low|pop=     80] Who was the director of Taxi at Midnight?
2026-05-17T02:47:10 [INFO    ] PopQA_v13:   [3170/10184 | 31.1%] [hig|pop=  11862] Who is the father of Aslaug?
2026-05-17T02:47:19 [INFO    ] PopQA_v13:   [3171/10184 | 31.1%] [hig|pop=   7535] What genre is Symbolic?
2026-05-17T02:47:27 [INFO    ] PopQA_v13:   [3172/10184 | 31.1%] [low|pop=     64] In what country is Genoa?
2026-05-17T02:47:33 [INFO    ] PopQA_v13:   [3173/10184 | 31.2%] [med|pop=    252] Who was the director of The Heart?
2026-05-17T02:47:40 [INFO    ] PopQA_v13:   [3174/10184 | 31.2%] [hig|pop=  11094] Who was the screenwriter for Julia?
2026-05-17T02:47:47 [INFO    ] PopQA_v13:   [3175/10184 | 31.2%] [hig|pop=   2330] Who was the director of Too Short a Season?
2026-05-17T02:47:53 [INFO    ] PopQA_v13:   [3176/10184 | 31.2%] [low|pop=     29] Who is the author of Saint?
2026-05-17T02:48:01 [INFO    ] PopQA_v13:   [3177/10184 | 31.2%] [hig|pop=   4177] Who was the producer of Conviction?
2026-05-17T02:48:05 [INFO    ] PopQA_v13:   [3178/10184 | 31.2%] [low|pop=     74] What sport does Lobos BUAP Premier play?
2026-05-17T02:48:10 [INFO    ] PopQA_v13:   [3179/10184 | 31.2%] [low|pop=     31] What sport does Radek Opršal play?
2026-05-17T02:48:15 [INFO    ] PopQA_v13:   [3180/10184 | 31.2%] [hig|pop=   5557] Who was the screenwriter for The Congress?
2026-05-17T02:48:20 [INFO    ] PopQA_v13:   [3181/10184 | 31.2%] [med|pop=    392] Who is the author of Fail-Safe Investing?
2026-05-17T02:48:26 [INFO    ] PopQA_v13:   [3182/10184 | 31.2%] [low|pop=     49] Who is the author of Lotte's Gift?
2026-05-17T02:48:31 [INFO    ] PopQA_v13:   [3183/10184 | 31.3%] [hig|pop=   3600] Who is the author of Kitchen?
2026-05-17T02:48:37 [INFO    ] PopQA_v13:   [3184/10184 | 31.3%] [med|pop=    863] Who was the director of Covert One: The Hades Factor?
2026-05-17T02:48:43 [INFO    ] PopQA_v13:   [3185/10184 | 31.3%] [med|pop=    112] Who is the author of Time of Your Life?
2026-05-17T02:48:49 [INFO    ] PopQA_v13:   [3186/10184 | 31.3%] [low|pop=     27] What sport does 1995 Cook Islands Round Cup play?
2026-05-17T02:48:57 [INFO    ] PopQA_v13:   [3187/10184 | 31.3%] [hig|pop=  36020] Who was the director of The Island?
2026-05-17T02:49:03 [INFO    ] PopQA_v13:   [3188/10184 | 31.3%] [low|pop=     48] Who was the director of The Day?
2026-05-17T02:49:11 [INFO    ] PopQA_v13:   [3189/10184 | 31.3%] [med|pop=    493] What genre is Far from Vietnam?
2026-05-17T02:49:17 [INFO    ] PopQA_v13:   [3190/10184 | 31.3%] [hig|pop=  83376] What is the capital of Benin?
2026-05-17T02:49:27 [INFO    ] PopQA_v13:   [3191/10184 | 31.3%] [low|pop=     27] In what country is Jeqjeq-e Pain?
2026-05-17T02:49:31 [INFO    ] PopQA_v13:   [3192/10184 | 31.3%] [med|pop=    141] Who is the author of M?
2026-05-17T02:49:34 [INFO    ] PopQA_v13:   [3193/10184 | 31.4%] [med|pop=    936] In what country is Mercer?
2026-05-17T02:49:40 [INFO    ] PopQA_v13:   [3194/10184 | 31.4%] [low|pop=     74] What is Jean-Marie-Victor Viel's occupation?
2026-05-17T02:49:47 [INFO    ] PopQA_v13:   [3195/10184 | 31.4%] [hig|pop=   3509] Who was the screenwriter for The Shout?
2026-05-17T02:49:53 [INFO    ] PopQA_v13:   [3196/10184 | 31.4%] [med|pop=    408] Who was the director of The Italian?
2026-05-17T02:49:58 [INFO    ] PopQA_v13:   [3197/10184 | 31.4%] [hig|pop=   1186] What is Ron Nyswaner's occupation?
2026-05-17T02:50:02 [INFO    ] PopQA_v13:   [3198/10184 | 31.4%] [low|pop=     98] What is Dmitriyev the capital of?
2026-05-17T02:50:11 [INFO    ] PopQA_v13:   [3199/10184 | 31.4%] [med|pop=    307] Who was the director of Il bandito dagli occhi azzurri?
2026-05-17T02:50:16 [INFO    ] PopQA_v13:   [3200/10184 | 31.4%] [hig|pop=   1541] Who is the author of Guns?
2026-05-17T02:50:23 [INFO    ] PopQA_v13:   [3201/10184 | 31.4%] [hig|pop=   1282] Who was the screenwriter for Midnight?
2026-05-17T02:50:30 [INFO    ] PopQA_v13:   [3202/10184 | 31.4%] [low|pop=     38] In what country is İnstitut?
2026-05-17T02:50:36 [INFO    ] PopQA_v13:   [3203/10184 | 31.5%] [low|pop=     66] What genre is Me and My Friend?
2026-05-17T02:50:42 [INFO    ] PopQA_v13:   [3204/10184 | 31.5%] [hig|pop=  16414] Who was the producer of Australia?
2026-05-17T02:50:48 [INFO    ] PopQA_v13:   [3205/10184 | 31.5%] [med|pop=    202] Who was the director of The White Land?
2026-05-17T02:50:54 [INFO    ] PopQA_v13:   [3206/10184 | 31.5%] [low|pop=     66] In what country is Pichlice?
2026-05-17T02:51:00 [INFO    ] PopQA_v13:   [3207/10184 | 31.5%] [med|pop=    192] In what country is Coin?
2026-05-17T02:51:11 [INFO    ] PopQA_v13:   [3208/10184 | 31.5%] [low|pop=     38] In what country is Weed?
2026-05-17T02:51:18 [INFO    ] PopQA_v13:   [3209/10184 | 31.5%] [med|pop=    930] In what country is Norfolk?
2026-05-17T02:51:25 [INFO    ] PopQA_v13:   [3210/10184 | 31.5%] [med|pop=    360] Who was the director of The Sixth?
2026-05-17T02:51:30 [INFO    ] PopQA_v13:   [3211/10184 | 31.5%] [med|pop=    105] Who was the director of What Every Woman Learns?
2026-05-17T02:51:35 [INFO    ] PopQA_v13:   [3212/10184 | 31.5%] [low|pop=     85] What genre is Reach?
2026-05-17T02:51:42 [INFO    ] PopQA_v13:   [3213/10184 | 31.5%] [med|pop=    583] What is Sırrı Süreyya Önder's occupation?
2026-05-17T02:51:49 [INFO    ] PopQA_v13:   [3214/10184 | 31.6%] [med|pop=    142] In what country is Magnolia Bible College?
2026-05-17T02:51:57 [INFO    ] PopQA_v13:   [3215/10184 | 31.6%] [med|pop=    912] Who was the screenwriter for Doore Doore Oru Koodu Koot
2026-05-17T02:52:05 [INFO    ] PopQA_v13:   [3216/10184 | 31.6%] [hig|pop=   2061] Who was the composer of Patience?
2026-05-17T02:52:12 [INFO    ] PopQA_v13:   [3217/10184 | 31.6%] [low|pop=     70] Who is the author of Villa Amalia?
2026-05-17T02:52:18 [INFO    ] PopQA_v13:   [3218/10184 | 31.6%] [low|pop=     97] What is Raymond S. Burton's occupation?
2026-05-17T02:52:23 [INFO    ] PopQA_v13:   [3219/10184 | 31.6%] [med|pop=    262] Who was the producer of His Hour?
2026-05-17T02:52:27 [INFO    ] PopQA_v13:   [3220/10184 | 31.6%] [med|pop=    430] What genre is Bones of the Earth?
2026-05-17T02:52:34 [INFO    ] PopQA_v13:   [3221/10184 | 31.6%] [med|pop=    129] In what country is Mayville?
2026-05-17T02:52:39 [INFO    ] PopQA_v13:   [3222/10184 | 31.6%] [hig|pop=   2513] What genre is Clockwise?
2026-05-17T02:52:48 [INFO    ] PopQA_v13:   [3223/10184 | 31.6%] [hig|pop=  10096] Who was the director of Thiruda Thiruda?
2026-05-17T02:53:01 [INFO    ] PopQA_v13:   [3224/10184 | 31.7%] [med|pop=    267] Who was the screenwriter for Superstar?
2026-05-17T02:53:10 [INFO    ] PopQA_v13:   [3225/10184 | 31.7%] [low|pop=     45] In what country is Babino, Haiti?
2026-05-17T02:53:18 [INFO    ] PopQA_v13:   [3226/10184 | 31.7%] [hig|pop=   1075] Who was the director of Primary?
2026-05-17T02:53:24 [INFO    ] PopQA_v13:   [3227/10184 | 31.7%] [hig|pop=  12199] Who was the screenwriter for The Castle?
2026-05-17T02:53:31 [INFO    ] PopQA_v13:   [3228/10184 | 31.7%] [low|pop=     30] What is the capital of Sal?
2026-05-17T02:53:41 [INFO    ] PopQA_v13:   [3229/10184 | 31.7%] [hig|pop=   3855] What genre is Friends?
2026-05-17T02:53:52 [INFO    ] PopQA_v13:   [3230/10184 | 31.7%] [hig|pop=  13542] Who was the composer of Let It Go?
2026-05-17T02:54:00 [INFO    ] PopQA_v13:   [3231/10184 | 31.7%] [hig|pop=  17011] What genre is The Car?
2026-05-17T02:54:08 [INFO    ] PopQA_v13:   [3232/10184 | 31.7%] [hig|pop=   1720] Who was the composer of The Claim?
2026-05-17T02:54:16 [INFO    ] PopQA_v13:   [3233/10184 | 31.7%] [low|pop=     34] What sport does Zanzibar national under-20 football tea
2026-05-17T02:54:21 [INFO    ] PopQA_v13:   [3234/10184 | 31.8%] [med|pop=    266] Who was the director of Love Letter?
2026-05-17T02:54:26 [INFO    ] PopQA_v13:   [3235/10184 | 31.8%] [low|pop=     76] What is the religion of Bernard Yago?
2026-05-17T02:54:30 [INFO    ] PopQA_v13:   [3236/10184 | 31.8%] [hig|pop=  18573] Who was the producer of The Hole?
2026-05-17T02:54:37 [INFO    ] PopQA_v13:   [3237/10184 | 31.8%] [hig|pop=   2036] Who was the director of The Crew?
2026-05-17T02:54:44 [INFO    ] PopQA_v13:   [3238/10184 | 31.8%] [med|pop=    534] Who was the screenwriter for The Well?
2026-05-17T02:54:50 [INFO    ] PopQA_v13:   [3239/10184 | 31.8%] [low|pop=     91] Who is the author of Down?
2026-05-17T02:54:55 [INFO    ] PopQA_v13:   [3240/10184 | 31.8%] [med|pop=    280] Who was the director of The Fool?
2026-05-17T02:54:58 [INFO    ] PopQA_v13:   [3241/10184 | 31.8%] [med|pop=    166] Who was the screenwriter for The End of the Day?
2026-05-17T02:55:06 [INFO    ] PopQA_v13:   [3242/10184 | 31.8%] [med|pop=    447] Who was the composer of Gimmie Dat?
2026-05-17T02:55:15 [INFO    ] PopQA_v13:   [3243/10184 | 31.8%] [med|pop=    107] In what city was Tameem Al-Kubati born?
2026-05-17T02:55:20 [INFO    ] PopQA_v13:   [3244/10184 | 31.9%] [hig|pop=   2944] What sport does Persatuan Bulutangkis Seluruh Indonesia
2026-05-17T02:55:28 [INFO    ] PopQA_v13:   [3245/10184 | 31.9%] [med|pop=    604] Who was the director of Little Malcolm?
2026-05-17T02:55:33 [INFO    ] PopQA_v13:   [3246/10184 | 31.9%] [med|pop=    119] What genre is Out There?
2026-05-17T02:55:41 [INFO    ] PopQA_v13:   [3247/10184 | 31.9%] [hig|pop=   1313] Who was the producer of The Assault?
2026-05-17T02:55:48 [INFO    ] PopQA_v13:   [3248/10184 | 31.9%] [low|pop=     94] Who was the producer of The Trap?
2026-05-17T02:55:53 [INFO    ] PopQA_v13:   [3249/10184 | 31.9%] [low|pop=     40] In what country is Union State Bank, Wisconsin?
2026-05-17T02:55:59 [INFO    ] PopQA_v13:   [3250/10184 | 31.9%] [med|pop=    417] What genre is Noise?
2026-05-17T02:56:05 [INFO    ] PopQA_v13:   [3251/10184 | 31.9%] [hig|pop=   1310] Who was the screenwriter for The Search?
2026-05-17T02:56:10 [INFO    ] PopQA_v13:   [3252/10184 | 31.9%] [low|pop=     76] What is the capital of Tarussky District?
2026-05-17T02:56:19 [INFO    ] PopQA_v13:   [3253/10184 | 31.9%] [low|pop=     50] In what country is Otto-Selz-Institute of Applied Psych
2026-05-17T02:56:23 [INFO    ] PopQA_v13:   [3254/10184 | 32.0%] [hig|pop=   1714] Who was the director of The Attic?
2026-05-17T02:56:28 [INFO    ] PopQA_v13:   [3255/10184 | 32.0%] [low|pop=     66] What is Edwin E. Ellis's occupation?
2026-05-17T02:56:32 [INFO    ] PopQA_v13:   [3256/10184 | 32.0%] [hig|pop=   5065] Who was the producer of Kismat Konnection?
2026-05-17T02:56:39 [INFO    ] PopQA_v13:   [3257/10184 | 32.0%] [med|pop=    207] In what city was Jerry Best born?
2026-05-17T02:56:46 [INFO    ] PopQA_v13:   [3258/10184 | 32.0%] [hig|pop=   3808] Who is the author of Bel Canto?
2026-05-17T02:56:53 [INFO    ] PopQA_v13:   [3259/10184 | 32.0%] [med|pop=    625] Who is the author of 1602: New World?
2026-05-17T02:57:03 [INFO    ] PopQA_v13:   [3260/10184 | 32.0%] [med|pop=    225] What sport does Bennie Osler play?
2026-05-17T02:57:07 [INFO    ] PopQA_v13:   [3261/10184 | 32.0%] [med|pop=    220] Who was the director of Mother?
2026-05-17T02:57:13 [INFO    ] PopQA_v13:   [3262/10184 | 32.0%] [low|pop=     49] What sport does list of Azerbaijan football transfers w
2026-05-17T02:57:19 [INFO    ] PopQA_v13:   [3263/10184 | 32.0%] [hig|pop=   2281] What is the capital of Gillespie County?
2026-05-17T02:57:29 [INFO    ] PopQA_v13:   [3264/10184 | 32.1%] [hig|pop=   5710] Who was the composer of Amok Time?
2026-05-17T02:57:35 [INFO    ] PopQA_v13:   [3265/10184 | 32.1%] [low|pop=     14] Who is the author of Shadow?
2026-05-17T02:57:41 [INFO    ] PopQA_v13:   [3266/10184 | 32.1%] [hig|pop=   4973] Who was the director of The Servant?
2026-05-17T02:57:47 [INFO    ] PopQA_v13:   [3267/10184 | 32.1%] [med|pop=    855] Who was the producer of Because They Can?
2026-05-17T02:57:52 [INFO    ] PopQA_v13:   [3268/10184 | 32.1%] [med|pop=    562] Who was the director of The Wacky World of Mother Goose
2026-05-17T02:58:00 [INFO    ] PopQA_v13:   [3269/10184 | 32.1%] [hig|pop=  24343] What is the capital of Guernsey?
2026-05-17T02:58:11 [INFO    ] PopQA_v13:   [3270/10184 | 32.1%] [hig|pop=  12850] Who was the screenwriter for Sabotage?
2026-05-17T02:58:17 [INFO    ] PopQA_v13:   [3271/10184 | 32.1%] [med|pop=    294] Who was the composer of Memories?
2026-05-17T02:58:26 [INFO    ] PopQA_v13:   [3272/10184 | 32.1%] [low|pop=     54] What is the religion of Alfred Reid?
2026-05-17T02:58:31 [INFO    ] PopQA_v13:   [3273/10184 | 32.1%] [med|pop=    283] Who was the director of His Way?
2026-05-17T02:58:41 [INFO    ] PopQA_v13:   [3274/10184 | 32.1%] [med|pop=    242] What genre is Golden?
2026-05-17T02:58:45 [INFO    ] PopQA_v13:   [3275/10184 | 32.2%] [low|pop=     57] In what city was Terry Hunte born?
2026-05-17T02:58:50 [INFO    ] PopQA_v13:   [3276/10184 | 32.2%] [hig|pop=   1476] Who was the producer of The Journey?
2026-05-17T02:58:55 [INFO    ] PopQA_v13:   [3277/10184 | 32.2%] [low|pop=     96] Who was the director of The Kiss?
2026-05-17T02:59:01 [INFO    ] PopQA_v13:   [3278/10184 | 32.2%] [hig|pop=  51441] What is the capital of Kingdom of France?
2026-05-17T02:59:10 [INFO    ] PopQA_v13:   [3279/10184 | 32.2%] [med|pop=    916] What is Jay the capital of?
2026-05-17T02:59:17 [INFO    ] PopQA_v13:   [3280/10184 | 32.2%] [med|pop=    610] Who is the father of Gao Wei?
2026-05-17T02:59:29 [INFO    ] PopQA_v13:   [3281/10184 | 32.2%] [med|pop=    243] Who was the producer of Long Pants?
2026-05-17T02:59:34 [INFO    ] PopQA_v13:   [3282/10184 | 32.2%] [hig|pop=   1820] Who was the composer of Good Morning?
2026-05-17T02:59:39 [INFO    ] PopQA_v13:   [3283/10184 | 32.2%] [med|pop=    136] In what city was Frederick George Bromberg born?
2026-05-17T02:59:44 [INFO    ] PopQA_v13:   [3284/10184 | 32.2%] [low|pop=     69] Who is the author of Eclipse?
2026-05-17T02:59:49 [INFO    ] PopQA_v13:   [3285/10184 | 32.3%] [med|pop=    687] Who was the director of Great Expectations?
2026-05-17T02:59:57 [INFO    ] PopQA_v13:   [3286/10184 | 32.3%] [low|pop=     28] What is the religion of Pedro Lisímaco de Jesús Vílchez
2026-05-17T03:00:04 [INFO    ] PopQA_v13:   [3287/10184 | 32.3%] [hig|pop=   1375] Who was the director of Contract?
2026-05-17T03:00:08 [INFO    ] PopQA_v13:   [3288/10184 | 32.3%] [med|pop=    144] Who was the director of A Self-Made Failure?
2026-05-17T03:00:14 [INFO    ] PopQA_v13:   [3289/10184 | 32.3%] [med|pop=    101] What genre is Mario Talavera?
2026-05-17T03:00:19 [INFO    ] PopQA_v13:   [3290/10184 | 32.3%] [hig|pop=   5905] Who was the producer of This Was?
2026-05-17T03:00:26 [INFO    ] PopQA_v13:   [3291/10184 | 32.3%] [med|pop=    107] Who was the screenwriter for Le Mentor?
2026-05-17T03:00:32 [INFO    ] PopQA_v13:   [3292/10184 | 32.3%] [low|pop=     45] What is Petru Vlah's occupation?
2026-05-17T03:00:39 [INFO    ] PopQA_v13:   [3293/10184 | 32.3%] [med|pop=    598] Who was the screenwriter for The Spoilers?
2026-05-17T03:00:44 [INFO    ] PopQA_v13:   [3294/10184 | 32.3%] [hig|pop=   1482] In what country is U.S. Route 7?
2026-05-17T03:00:55 [INFO    ] PopQA_v13:   [3295/10184 | 32.4%] [med|pop=    170] Who is the author of Yny lhyvyr hwnn?
2026-05-17T03:01:03 [INFO    ] PopQA_v13:   [3296/10184 | 32.4%] [low|pop=     97] Who was the director of Public Opinion?
2026-05-17T03:01:08 [INFO    ] PopQA_v13:   [3297/10184 | 32.4%] [low|pop=     33] Who is the author of Homecoming?
2026-05-17T03:01:15 [INFO    ] PopQA_v13:   [3298/10184 | 32.4%] [low|pop=     76] What genre is Flare?
2026-05-17T03:01:23 [INFO    ] PopQA_v13:   [3299/10184 | 32.4%] [hig|pop=   9989] Who was the composer of Roar?
2026-05-17T03:01:30 [INFO    ] PopQA_v13:   [3300/10184 | 32.4%] [med|pop=    640] Who was the screenwriter for The Slave?
2026-05-17T03:01:35 [INFO    ] PopQA_v13:   [3301/10184 | 32.4%] [hig|pop= 172823] What is the capital of Cape Verde?
2026-05-17T03:01:44 [INFO    ] PopQA_v13:   [3302/10184 | 32.4%] [hig|pop=   9461] What genre is The Eye?
2026-05-17T03:01:51 [INFO    ] PopQA_v13:   [3303/10184 | 32.4%] [low|pop=     96] In what city was Greg Windsperger born?
2026-05-17T03:01:56 [INFO    ] PopQA_v13:   [3304/10184 | 32.4%] [med|pop=    385] What sport does Kateřina Nash play?
2026-05-17T03:02:05 [INFO    ] PopQA_v13:   [3305/10184 | 32.5%] [low|pop=     44] Who was the composer of Kallai Mattum?
2026-05-17T03:02:09 [INFO    ] PopQA_v13:   [3306/10184 | 32.5%] [hig|pop=  53782] What is the capital of Sindh?
2026-05-17T03:02:20 [INFO    ] PopQA_v13:   [3307/10184 | 32.5%] [med|pop=    137] Who was the director of History Lessons?
2026-05-17T03:02:26 [INFO    ] PopQA_v13:   [3308/10184 | 32.5%] [hig|pop=  34064] Who was the screenwriter for Elizabeth?
2026-05-17T03:02:31 [INFO    ] PopQA_v13:   [3309/10184 | 32.5%] [med|pop=    128] Who is the author of On the Edge of a Plain?
2026-05-17T03:02:36 [INFO    ] PopQA_v13:   [3310/10184 | 32.5%] [hig|pop=  10888] What genre is The Swan?
2026-05-17T03:02:40 [INFO    ] PopQA_v13:   [3311/10184 | 32.5%] [med|pop=    509] Who is the author of Her Smoke Rose Up Forever?
2026-05-17T03:02:46 [INFO    ] PopQA_v13:   [3312/10184 | 32.5%] [low|pop=     97] Who was the director of Trail?
2026-05-17T03:02:54 [INFO    ] PopQA_v13:   [3313/10184 | 32.5%] [low|pop=     96] Who was the composer of Tea for One?
2026-05-17T03:03:02 [INFO    ] PopQA_v13:   [3314/10184 | 32.5%] [low|pop=     27] In what city was Florence Marie Harsant born?
2026-05-17T03:03:06 [INFO    ] PopQA_v13:   [3315/10184 | 32.6%] [low|pop=     47] In what country is Peterson?
2026-05-17T03:03:11 [INFO    ] PopQA_v13:   [3316/10184 | 32.6%] [hig|pop=   6578] What genre is Pearl Jam?
2026-05-17T03:03:19 [INFO    ] PopQA_v13:   [3317/10184 | 32.6%] [med|pop=    194] Who is the author of All in a Day?
2026-05-17T03:03:27 [INFO    ] PopQA_v13:   [3318/10184 | 32.6%] [med|pop=    211] Who was the screenwriter for Storm?
2026-05-17T03:03:33 [INFO    ] PopQA_v13:   [3319/10184 | 32.6%] [low|pop=     76] Who is the author of A Survey?
2026-05-17T03:03:38 [INFO    ] PopQA_v13:   [3320/10184 | 32.6%] [hig|pop=   2256] What sport does Inter Moengotapoe play?
2026-05-17T03:03:43 [INFO    ] PopQA_v13:   [3321/10184 | 32.6%] [low|pop=     53] In what country is Rozsochatec?
2026-05-17T03:03:49 [INFO    ] PopQA_v13:   [3322/10184 | 32.6%] [hig|pop=   1025] Who was the composer of Jérusalem?
2026-05-17T03:03:59 [INFO    ] PopQA_v13:   [3323/10184 | 32.6%] [low|pop=     78] Who was the director of Me First?
2026-05-17T03:04:03 [INFO    ] PopQA_v13:   [3324/10184 | 32.6%] [hig|pop=   7716] Who was the producer of Happy?
2026-05-17T03:04:10 [INFO    ] PopQA_v13:   [3325/10184 | 32.6%] [hig|pop=   4039] Who was the composer of Too Many People?
2026-05-17T03:04:18 [INFO    ] PopQA_v13:   [3326/10184 | 32.7%] [med|pop=    212] In what country is Potter?
2026-05-17T03:04:22 [INFO    ] PopQA_v13:   [3327/10184 | 32.7%] [med|pop=    372] Who was the screenwriter for Compagni di scuola?
2026-05-17T03:04:28 [INFO    ] PopQA_v13:   [3328/10184 | 32.7%] [hig|pop=   1436] Who was the producer of Every Night?
2026-05-17T03:04:32 [INFO    ] PopQA_v13:   [3329/10184 | 32.7%] [med|pop=    240] In what country is Leme?
2026-05-17T03:04:38 [INFO    ] PopQA_v13:   [3330/10184 | 32.7%] [low|pop=     70] In what country is La Roche-Clermault?
2026-05-17T03:04:45 [INFO    ] PopQA_v13:   [3331/10184 | 32.7%] [hig|pop=   2423] Who was the director of A Matter of Honor?
2026-05-17T03:04:53 [INFO    ] PopQA_v13:   [3332/10184 | 32.7%] [hig|pop=  14796] Who is the author of Spice and Wolf?
2026-05-17T03:05:00 [INFO    ] PopQA_v13:   [3333/10184 | 32.7%] [hig|pop=   6174] What genre is Look Around You?
2026-05-17T03:05:06 [INFO    ] PopQA_v13:   [3334/10184 | 32.7%] [low|pop=     79] In what country is Hobbledehoy Record Co.?
2026-05-17T03:05:13 [INFO    ] PopQA_v13:   [3335/10184 | 32.7%] [low|pop=     66] What genre is Eddie & the Gang with No Name?
2026-05-17T03:05:22 [INFO    ] PopQA_v13:   [3336/10184 | 32.8%] [med|pop=    228] What is the religion of José Cardoso Sobrinho?
2026-05-17T03:05:27 [INFO    ] PopQA_v13:   [3337/10184 | 32.8%] [low|pop=     76] Who was the composer of Tailor Wibbel?
2026-05-17T03:05:36 [INFO    ] PopQA_v13:   [3338/10184 | 32.8%] [low|pop=     50] What sport does Alexei Ugarov play?
2026-05-17T03:05:41 [INFO    ] PopQA_v13:   [3339/10184 | 32.8%] [hig|pop=  17410] What is the capital of Western Visayas?
